Month,Year,State Abbrev,State,Labor Force Participation,Employment-Population Rate,Unemployment Rate 
05,2018,GA,Georgia,63.5   ,61.0   ,4.0   
05,2018,HI,Hawaii,61.9   ,60.5   ,2.3   
05,2018,ID,Idaho,64.1   ,62.3   ,2.8   
05,2018,IL,Illinois,64.7   ,62.0   ,4.3   
05,2018,IN,Indiana,65.2   ,63.0   ,3.4   
05,2018,IA,Iowa,69.2   ,67.5   ,2.5   
05,2018,KS,Kansas,66.9   ,64.7   ,3.3   
05,2018,KY,Kentucky,58.8   ,56.3   ,4.2   
05,2018,LA,Louisiana,59.1   ,56.2   ,4.9   
05,2018,ME,Maine,63.2   ,61.2   ,3.1   
05,2018,MD,Maryland,67.8   ,65.2   ,3.8   
05,2018,MA,Massachusetts,67.2   ,64.8   ,3.5   
05,2018,MI,Michigan,61.6   ,59.1   ,4.0   
05,2018,MN,Minnesota,69.7   ,67.6   ,2.9   
05,2018,MS,Mississippi,55.7   ,53.0   ,4.9   
05,2018,MO,Missouri,63.7   ,61.7   ,3.2   
05,2018,MT,Montana,63.3   ,61.0   ,3.7   
05,2018,NE,Nebraska,69.9   ,67.9   ,2.8   
05,2018,NV,Nevada,63.4   ,60.6   ,4.4   
05,2018,NH,New Hampshire,68.9   ,67.0   ,2.7   
05,2018,NJ,New Jersey,63.1   ,60.5   ,4.1   
05,2018,NM,New Mexico,57.8   ,55.1   ,4.7   
05,2018,NY,New York,60.6   ,58.2   ,4.1   
05,2018,NC,North Carolina,61.3   ,58.9   ,3.9   
05,2018,ND,North Dakota,70.0   ,68.3   ,2.4   
05,2018,OH,Ohio,62.9   ,60.0   ,4.5   
05,2018,OK,Oklahoma,61.3   ,59.3   ,3.3   
05,2018,OR,Oregon,61.8   ,59.4   ,3.9   
05,2018,PA,Pennsylvania,62.6   ,59.9   ,4.4   
05,2018,RI,Rhode Island,64.7   ,62.1   ,4.0   
05,2018,SC,South Carolina,57.7   ,55.8   ,3.2   
05,2018,SD,South Dakota,69.4   ,67.4   ,2.8   
05,2018,TN,Tennessee,61.0   ,58.9   ,3.5   
05,2018,TX,Texas,64.1   ,61.6   ,3.9   
05,2018,UT,Utah,68.6   ,66.6   ,2.9   
05,2018,VT,Vermont,67.2   ,65.5   ,2.5   
05,2018,VA,Virginia,65.5   ,63.5   ,2.9   
05,2018,WA,Washington,64.1   ,61.3   ,4.3   
05,2018,WV,West Virginia,54.4   ,51.6   ,5.2   
05,2018,WI,Wisconsin,67.5   ,65.5   ,3.0   
05,2018,WY,Wyoming,65.7   ,63.1   ,4.0   
06,2018,AL,Alabama,57.3   ,55.0   ,4.0   
06,2018,AK,Alaska,65.2   ,61.4   ,5.9   
06,2018,AZ,Arizona,61.2   ,58.3   ,4.7   
06,2018,AR,Arkansas,57.8   ,55.8   ,3.6   
06,2018,CA,California,62.3   ,59.7   ,4.2   
06,2018,CO,Colorado,68.7   ,66.6   ,3.1   
06,2018,CT,Connecticut,66.2   ,63.6   ,3.9   
06,2018,DE,Delaware,62.3   ,60.0   ,3.7   
06,2018,DC,District of Columbia,70.6   ,66.6   ,5.6   
06,2018,FL,Florida,59.4   ,57.2   ,3.6   
06,2018,GA,Georgia,63.4   ,60.9   ,3.9   
06,2018,HI,Hawaii,61.8   ,60.4   ,2.4   
06,2018,ID,Idaho,64.1   ,62.3   ,2.8   
06,2018,IL,Illinois,64.7   ,61.9   ,4.2   
06,2018,IN,Indiana,65.2   ,63.0   ,3.4   
06,2018,IA,Iowa,69.3   ,67.6   ,2.5   
06,2018,KS,Kansas,66.9   ,64.7   ,3.3   
06,2018,KY,Kentucky,58.8   ,56.3   ,4.2   
06,2018,LA,Louisiana,59.0   ,56.1   ,4.9   
06,2018,ME,Maine,63.2   ,61.2   ,3.2   
06,2018,MD,Maryland,67.8   ,65.2   ,3.8   
06,2018,MA,Massachusetts,67.3   ,64.9   ,3.5   
06,2018,MI,Michigan,61.6   ,59.1   ,4.0   
06,2018,MN,Minnesota,69.6   ,67.6   ,2.9   
06,2018,MS,Mississippi,55.7   ,53.0   ,4.8   
06,2018,MO,Missouri,63.6   ,61.7   ,3.1   
06,2018,MT,Montana,63.3   ,61.0   ,3.7   
06,2018,NE,Nebraska,69.9   ,67.9   ,2.9   
06,2018,NV,Nevada,63.4   ,60.7   ,4.3   
06,2018,NH,New Hampshire,68.9   ,67.1   ,2.6   
06,2018,NJ,New Jersey,63.1   ,60.5   ,4.0   
06,2018,NM,New Mexico,57.8   ,55.1   ,4.7   
06,2018,NY,New York,60.6   ,58.2   ,4.0   
06,2018,NC,North Carolina,61.2   ,58.8   ,3.9   
06,2018,ND,North Dakota,69.8   ,68.2   ,2.3   
06,2018,OH,Ohio,62.9   ,60.1   ,4.5   
06,2018,OK,Oklahoma,61.2   ,59.2   ,3.2   
06,2018,OR,Oregon,61.7   ,59.3   ,3.8   
06,2018,PA,Pennsylvania,62.7   ,59.9   ,4.3   
06,2018,RI,Rhode Island,64.7   ,62.1   ,3.9   
06,2018,SC,South Carolina,57.7   ,55.9   ,3.2   
06,2018,SD,South Dakota,69.3   ,67.4   ,2.8   
06,2018,TN,Tennessee,61.0   ,58.9   ,3.5   
06,2018,TX,Texas,64.1   ,61.6   ,3.9   
06,2018,UT,Utah,68.6   ,66.6   ,2.9   
06,2018,VT,Vermont,67.1   ,65.5   ,2.4   
06,2018,VA,Virginia,65.4   ,63.5   ,2.8   
06,2018,WA,Washington,64.1   ,61.4   ,4.3   
06,2018,WV,West Virginia,54.5   ,51.7   ,5.1   
06,2018,WI,Wisconsin,67.4   ,65.4   ,3.0   
06,2018,WY,Wyoming,65.7   ,63.1   ,4.0   
07,2018,AL,Alabama,57.3   ,55.1   ,4.0   
07,2018,AK,Alaska,65.2   ,61.3   ,5.9   
07,2018,AZ,Arizona,61.2   ,58.4   ,4.7   
07,2018,AR,Arkansas,57.8   ,55.8   ,3.5   
07,2018,CA,California,62.3   ,59.7   ,4.2   
07,2018,CO,Colorado,68.7   ,66.6   ,3.1   
07,2018,CT,Connecticut,66.2   ,63.7   ,3.8   
07,2018,DE,Delaware,62.1   ,59.9   ,3.6   
07,2018,DC,District of Columbia,70.3   ,66.4   ,5.5   
07,2018,FL,Florida,59.4   ,57.2   ,3.6   
07,2018,GA,Georgia,63.3   ,60.8   ,3.9   
07,2018,HI,Hawaii,61.7   ,60.2   ,2.4   
07,2018,ID,Idaho,64.1   ,62.3   ,2.8   
07,2018,IL,Illinois,64.7   ,61.9   ,4.3   
07,2018,IN,Indiana,65.2   ,62.9   ,3.4   
07,2018,IA,Iowa,69.3   ,67.6   ,2.5   
07,2018,KS,Kansas,66.9   ,64.7   ,3.3   
07,2018,KY,Kentucky,58.7   ,56.2   ,4.2   
07,2018,LA,Louisiana,58.9   ,56.0   ,4.9   
07,2018,ME,Maine,63.1   ,61.1   ,3.3   
07,2018,MD,Maryland,67.8   ,65.2   ,3.7   
07,2018,MA,Massachusetts,67.3   ,64.9   ,3.4   
07,2018,MI,Michigan,61.5   ,59.1   ,4.0   
07,2018,MN,Minnesota,69.5   ,67.5   ,2.9   
07,2018,MS,Mississippi,55.6   ,52.9   ,4.8   
07,2018,MO,Missouri,63.6   ,61.6   ,3.1   
07,2018,MT,Montana,63.3   ,61.0   ,3.7   
07,2018,NE,Nebraska,69.9   ,67.9   ,2.9   
07,2018,NV,Nevada,63.4   ,60.7   ,4.2   
07,2018,NH,New Hampshire,68.9   ,67.1   ,2.6   
07,2018,NJ,New Jersey,63.0   ,60.5   ,4.0   
07,2018,NM,New Mexico,57.8   ,55.1   ,4.7   
07,2018,NY,New York,60.6   ,58.2   ,3.9   
07,2018,NC,North Carolina,61.2   ,58.8   ,3.9   
07,2018,ND,North Dakota,69.7   ,68.1   ,2.3   
07,2018,OH,Ohio,62.8   ,60.0   ,4.4   
07,2018,OK,Oklahoma,61.0   ,59.1   ,3.1   
07,2018,OR,Oregon,61.6   ,59.2   ,3.9   
07,2018,PA,Pennsylvania,62.7   ,60.0   ,4.3   
07,2018,RI,Rhode Island,64.6   ,62.1   ,3.9   
07,2018,SC,South Carolina,57.8   ,55.9   ,3.3   
07,2018,SD,South Dakota,69.3   ,67.4   ,2.7   
07,2018,TN,Tennessee,61.0   ,58.9   ,3.5   
07,2018,TX,Texas,64.0   ,61.5   ,3.9   
07,2018,UT,Utah,68.5   ,66.5   ,2.9   
07,2018,VT,Vermont,67.1   ,65.5   ,2.4   
07,2018,VA,Virginia,65.2   ,63.4   ,2.8   
07,2018,WA,Washington,64.1   ,61.4   ,4.3   
07,2018,WV,West Virginia,54.5   ,51.8   ,5.1   
07,2018,WI,Wisconsin,67.3   ,65.2   ,3.0   
07,2018,WY,Wyoming,65.7   ,63.1   ,4.0   
08,2018,AL,Alabama,57.3   ,55.1   ,3.9   
08,2018,AK,Alaska,65.1   ,61.2   ,5.9   
08,2018,AZ,Arizona,61.3   ,58.4   ,4.7   
08,2018,AR,Arkansas,57.8   ,55.7   ,3.5   
08,2018,CA,California,62.3   ,59.7   ,4.2   
08,2018,CO,Colorado,68.7   ,66.5   ,3.1   
08,2018,CT,Connecticut,66.2   ,63.8   ,3.8   
08,2018,DE,Delaware,62.0   ,59.8   ,3.6   
08,2018,DC,District of Columbia,70.1   ,66.3   ,5.5   
08,2018,FL,Florida,59.3   ,57.2   ,3.5   
